game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
SD Gundam Battle Alliance,Xbox Series X,2022/08/25,71,NA,"Bandai Namco Games, Artdink","Role-Playing, Simulation, Action RPG, Vehicle, Combat",9,NA
Islets,Switch,2022/08/24,82,NA,Kyle Thompson,"Action, Platformer, Metroidvania",9,NA
Islets,PC,2022/08/24,77,NA,Kyle Thompson,"Action, Action Adventure, Platformer, Open-World, Metroidvania",8,NA
Soul Hackers 2,PlayStation 5,2022/08/24,74,7,Atlus,"Role-Playing, Japanese-Style",51,88
Midnight Fight Express,PC,2022/08/23,75,7.5,Jacob Dzwinel,"Action Adventure, Linear, Action, Beat-'Em-Up, 3D",34,35
Midnight Fight Express,PlayStation 4,2022/08/23,74,NA,Jacob Dzwinel,"Action, Beat-'Em-Up, 3D",7,NA
Saints Row,Xbox Series X,2022/08/23,65,3.1,Volition Inc.,"Action Adventure, Open-World",39,190
Saints Row,PC,2022/08/23,65,2.5,Volition Inc.,"Action Adventure, Open-World",25,428
Saints Row,PlayStation 5,2022/08/23,61,2.9,Volition Inc.,"Action Adventure, Open-World",63,897
Red Matter 2,PC,2022/08/18,84,8,Vertical Robot,"Adventure, 3D, First-Person",7,7
Cursed to Golf,PC,2022/08/18,80,NA,Chuhai Labs,"Sports, Individual, Golf, Arcade",17,NA
Cursed to Golf,Switch,2022/08/18,76,NA,Chuhai Labs,"Sports, Individual, Golf, Arcade",9,NA
We Are OFK,PlayStation 5,2022/08/18,76,3.1,Team OFK,"Adventure, General",12,14
We Are OFK,PC,2022/08/18,75,2.9,Team OFK,"Adventure, General",11,7
RPG Time: The Legend of Wright,Switch,2022/08/18,75,NA,"Aniplex Inc., Deskworks","Role-Playing, General",9,NA
We Are OFK,Switch,2022/08/18,75,2.1,Team OFK,"Adventure, General",8,7
Cursed to Golf,PlayStation 5,2022/08/18,74,NA,Chuhai Labs,"Sports, Individual, Golf, Arcade",9,NA
Thymesia,Xbox Series X,2022/08/18,72,7.1,OverBorder Studio,"Role-Playing, Action RPG",10,14
Thymesia,PC,2022/08/18,69,6.9,OverBorder Studio,"Role-Playing, Action RPG",43,34
Thymesia,PlayStation 5,2022/08/18,68,7.6,OverBorder Studio,"Role-Playing, Action RPG",21,37
Kirby's Dream Buffet,Switch,2022/08/17,66,7.1,HAL Labs,"Miscellaneous, Party / Minigame",48,47
Rollerdrome,PC,2022/08/16,81,7.8,roll7,"Action, Shooter, Third-Person, Arcade",33,27
Rollerdrome,PlayStation 5,2022/08/16,79,7.5,roll7,"Action, Shooter, Third-Person, Arcade",49,36
Blossom Tales 2: The Minotaur Prince,Switch,2022/08/16,77,7.9,"Castle Pixel, LLC.","Action Adventure, Open-World",11,19
Madden NFL 23,Xbox Series X,2022/08/16,70,1.9,"EA Sports, EA Tiburon","Sports, Team, Football, Sim",22,89
Madden NFL 23,PlayStation 5,2022/08/16,69,1.4,"EA Sports, EA Tiburon","Sports, Team, Football, Sim",30,193
Way of the Hunter,PC,2022/08/16,64,4.9,Nine Rocks Games,"Sports, Individual, Nature, Hunting",12,9
Way of the Hunter,PlayStation 5,2022/08/16,63,5.5,Nine Rocks Games,"Sports, Individual, Nature, Hunting",9,12
Fashion Police Squad,PC,2022/08/15,69,7.7,Mopeful Games,"Action, Shooter, First-Person, Arcade",7,7
Marvel's Spider-Man Remastered,PC,2022/08/12,87,8.1,Nixxes Software,"Action Adventure, Open-World",65,374
Cult of the Lamb,PlayStation 5,2022/08/11,86,6.1,Massive Monster,"Action Adventure, General",8,43
Cult of the Lamb,PC,2022/08/11,82,7.8,Massive Monster,"Action Adventure, General",88,121
Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,Switch,2022/08/11,79,5.5,Millennium Kitchen,"Adventure, General, 3D, Third-Person",15,6
Cult of the Lamb,Switch,2022/08/11,79,5,Massive Monster,"Action Adventure, General",10,61
Arcade Paradise,PlayStation 5,2022/08/11,74,8,Nosebleed Interactive,"Simulation, Miscellaneous, Virtual, Party / Minigame, Career",14,6
Lost in Play,PC,2022/08/10,82,7.5,HappyJuice Games,"Adventure, General",8,11
Lost in Play,Switch,2022/08/10,81,7.5,HappyJuice Games,"Adventure, General",9,13
Tower of Fantasy,PC,2022/08/10,65,3.8,"Proxima Beta Europe B.V., Hotta Studio","Action, Role-Playing, General, Massively Multiplayer",13,79
Two Point Campus,Switch,2022/08/09,87,5.7,Two Point Studios,"Strategy, Management, Business / Tycoon",9,7
Two Point Campus,Xbox Series X,2022/08/09,84,6.8,Two Point Studios,"Strategy, Management, Business / Tycoon",9,13
Two Point Campus,PC,2022/08/09,83,7.1,Two Point Studios,"Strategy, Management, Business / Tycoon",65,29
Two Point Campus,PlayStation 5,2022/08/09,82,5.1,Two Point Studios,"Strategy, Management, Business / Tycoon",16,11
GigaBash,PlayStation 5,2022/08/05,73,8.5,Passion Republic,"Action, Fighting, 3D",10,4
Hard West 2,PC,2022/08/04,77,7.3,"Ice Code Games, Ice Cold Games","Strategy, Turn-Based, Tactics",38,26
